arm,seed,fold,acc,mf1,kappa,auc,ap
A_features,1,0,0.7236067059356592,0.6647829718624025,0.6176592509874947,0.6966627629289652,0.27587195630478323
A_features,1,1,0.7042107446587845,0.6473045411694237,0.5904070806963015,0.7265075925901153,0.2984343047995368
A_features,1,2,0.7178,0.6330939437741083,0.5988161408350393,0.6253459474141688,0.1747822594357058
A_features,1,3,0.6927067123145555,0.6099044002118917,0.5740674116027862,0.7920160791286844,0.34510078511764103
A_features,1,4,0.7371744277821626,0.6435395752560307,0.6249837829954368,0.750345223812501,0.38680127628744065
A_features,1,5,0.729059172247228,0.6486764081478933,0.6032310505026366,0.6953977262811368,0.29832974058186157
A_features,1,6,0.727253446447508,0.6533681606574162,0.6132768800197435,0.7696243872769608,0.5660760403317335
A_features,1,7,0.7619895404473128,0.6858376583556798,0.6698015139336075,0.6797201558936865,0.3000662762086165
A_features,1,8,0.7047793742993987,0.6438456285207674,0.5986848055667051,0.6411394728894826,0.23914830628444136
A_features,1,9,0.7392939463787456,0.6771470294860054,0.6317995701080532,0.6644137359059952,0.3461846247952929
A_features,42,0,0.7398051653828727,0.6793195581208751,0.6293919330509234,0.7083720032862021,0.30383703997915573
A_features,42,1,0.7078406969508401,0.6554915808940549,0.600258328221924,0.7176419094240071,0.3111257902278912
A_features,42,2,0.7256,0.6403504532889238,0.6096866110644572,0.628608330543351,0.17915745516015652
A_features,42,3,0.7207179167963482,0.6373518756203891,0.6098131844535108,0.8152874015844326,0.3926655831732231
A_features,42,4,0.7401059871462398,0.6486989183587437,0.6267646732071102,0.7461159082332133,0.3853365195972134
A_features,42,5,0.7464046547370732,0.6626172854470709,0.6260356101822552,0.6722562944279467,0.27443402520991755
A_features,42,6,0.7201484623541887,0.6651577334112468,0.6118775488706845,0.7603003470671295,0.537021786683568
A_features,42,7,0.7564259485924113,0.6534077945517854,0.6556266172690992,0.7224493938688261,0.3421357998246626
A_features,42,8,0.7069193926424131,0.6388662074544694,0.592976683655472,0.683265892905711,0.24251764643865614
A_features,42,9,0.7306805774596628,0.6816449228719044,0.6186071990911662,0.6370662853146757,0.3161578488905825
A_features,7,0,0.7147711826008156,0.6721191846076622,0.5998717078285117,0.6795349288188463,0.26956289030729774
A_features,7,1,0.7071147064924289,0.642438002079326,0.5929395779982569,0.699838374312618,0.26046055226123394
A_features,7,2,0.7249,0.6329554084871336,0.608397166184812,0.6463022596024921,0.1793236102523887
A_features,7,3,0.7251789604730782,0.6254739769451422,0.6065188273949582,0.811978266027154,0.37299327835382656
A_features,7,4,0.7473221332731987,0.6623298925225528,0.6430439605715678,0.7576118217610978,0.44254453928066195
A_features,7,5,0.7357558458667253,0.6436662593701473,0.6092994597801347,0.6680026931177614,0.2960273132429319
A_features,7,6,0.727253446447508,0.6633058049932294,0.6152051307167175,0.7449213821173984,0.5069691164590577
A_features,7,7,0.751863803271392,0.6761463580602408,0.6517017907013305,0.6801525543628701,0.2984747405137329
