seed,fold,acc,mf1,kappa,apnea_auc,apnea_ap
1,0,0.7382193022202084,0.6913131812553889,0.6342668758123068,0.7588197823527318,0.4128130093630993
1,1,0.7088778261771417,0.6605145930529466,0.6022308269788588,0.7774095873027936,0.3591783298845477
1,2,0.7488,0.6565021325627936,0.6387236110932735,0.7408434410386548,0.2813536695604933
1,3,0.7273576097105509,0.6559475275037941,0.6181679305246387,0.8583990456227545,0.43886843772528084
1,4,0.7602886458450784,0.6732461868213443,0.6533592014414144,0.8252135611168375,0.48947569768392163
1,5,0.7714348446591284,0.6823156777438774,0.6651817447627872,0.7861244271843233,0.40784007212088924
1,6,0.7397667020148463,0.6761374791388833,0.6313360340501372,0.8238444040147609,0.661630877590157
1,7,0.777345053966841,0.6839959064388694,0.685506749149313,0.7564821543909908,0.4151959770674574
1,8,0.7122184856822582,0.6549483659592644,0.6084478105279268,0.7209856601976896,0.2599701407840958
1,9,0.7482712604634235,0.6852820061936207,0.6440933158237205,0.7618241509147969,0.45240984132576434
42,0,0.7258722247394653,0.6949891627090793,0.623966282893463,0.7848370614472251,0.43667104318575256
42,1,0.7196639701306783,0.6596179932671186,0.6134844629430676,0.7631412573062368,0.3536874715414621
42,2,0.7391,0.6432517550458406,0.6254318104353607,0.7473381551781961,0.3070444741937918
42,3,0.7081647473804337,0.6283009511006657,0.5905768696353119,0.8502034961220781,0.43036669129764915
42,4,0.7560040590821964,0.6875340858871677,0.659110976020633,0.8165515920624996,0.47495235845525663
42,5,0.7475024700845317,0.6645214197265966,0.6378124763537913,0.7696956280925618,0.41124110545799447
42,6,0.7448568398727465,0.6915312865865152,0.6409679981980498,0.8296682728910305,0.6541507822488699
42,7,0.7573161232891955,0.681889670264507,0.6601592843274,0.7704370120083834,0.44483601151221425
42,8,0.7023336390502395,0.6363254227924751,0.5913758552624254,0.740771063749655,0.2838844358272863
42,9,0.7419628775931093,0.6729027516912598,0.6292111086043415,0.7583563281349579,0.4355167158622715
7,0,0.7358405074762121,0.7024203090963216,0.6358955753068215,0.7715676247345791,0.4293349304926194
7,1,0.7164488695291433,0.6706459030433269,0.611412386788224,0.7831706922843397,0.37674800277707693
7,2,0.7468,0.667662001437656,0.6384294540736006,0.7380641481198847,0.2861160839791841
7,3,0.7528789293495176,0.6611569031353259,0.6507668350315206,0.8470774336986642,0.41828242871470034
7,4,0.7291690156725674,0.6302960149558607,0.6178061235482968,0.7906092814455579,0.38997918195319875
7,5,0.757163245142167,0.6790667234111438,0.6464053458999359,0.7961090786175451,0.44362669265275423
7,6,0.7511134676564157,0.6930652322223236,0.6545660204507087,0.8363510873570055,0.6757014735255618
7,7,0.7632135306553911,0.6962378340757587,0.6723323189589054,0.7547612163925639,0.42393243128669944
7,8,0.7035565066748192,0.6411304499296323,0.593189306719518,0.7375764062732241,0.2729218429974676
7,9,0.7497270411258037,0.6811562968254803,0.6445207501414469,0.7581441214263323,0.4515666278170136
